system   D            wsystem.c:583  maybe_parent_dir                 [   0.00037] Also searching C:\Users\Myron\Shifter\Shifter\
display  D   display_settings.c:357  _al_score_display_settings       [   0.02958] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.02960] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02962] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02964] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02967] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02969] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02971] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02973] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02975] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02977] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02979] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02981] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02983] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02985] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02987] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02989] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02991] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02993] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02995] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02997] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02999] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03001] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03003] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03005] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03007] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03009] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03011] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03013] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03015] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03017] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03019] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03021] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03023] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03025] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03027] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03029] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03031] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03033] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03036] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03038] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03040] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03042] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03044] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03046] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03048] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03050] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   0.03052] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03054] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03056] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03058] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03060] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03062] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03065] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03068] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03070] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03072] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03074] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03076] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03078] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03080] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03082] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03084] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03086] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03088] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03091] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03093] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03095] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03097] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03099] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03101] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03103] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03105] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03107] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03109] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03113] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03115] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03118] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03120] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03122] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03124] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03126] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03128] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03130] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03132] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03134] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03136] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03138] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03141] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03143] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03145] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03147] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.03149] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03151] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03153] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03155] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03157] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03159] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03161] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03163] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03167] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03169] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03171] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03173] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03175] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03177] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03179] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03181] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03183] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03185] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03187] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03190] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03192] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03194] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03196] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03198] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03200] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03202] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03244] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03246] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03248] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03250] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03252] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03254] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03256] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03258] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03260] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03265] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03267] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03269] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03271] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03273] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03275] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03277] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03279] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03281] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03283] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03285] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03287] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03289] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03291] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03293] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03295] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03297] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03299] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03301] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03303] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03305] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03307] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03309] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03311] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03313] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03315] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03317] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03320] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.03322] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03324] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03326] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03328] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03330] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03332] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03334] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03337] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03339] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03341] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03343] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03345] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03347] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03349] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03351] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03353] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03355] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03357] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03360] Single Buffer requirement not met.
